"Accepted Symbol","Synonym Symbol","Scientific Name","PLANTS Floristic Area","Active Growth Period","After Harvest Regrowth Rate","Bloat","C:N Ratio","Coppice Potential","Fall Conspicuous","Fire Resistance","Flower Color","Flower Conspicuous","Foliage Color","Foliage Porosity Summer","Foliage Porosity Winter","Foliage Texture","Fruit Color","Fruit Conspicuous","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Known Allelopath","Leaf Retention","Lifespan","Low Growing Grass","Nitrogen Fixation","Resprout Ability","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Anaerobic Tolerance","CaCO<SUB>3</SUB> Tolerance","Cold Stratification Required","Drought Tolerance","Fertility Requirement","Fire Tolerance","Frost Free Days, Minimum","Hedge Tolerance","Moisture Use","pH (Minimum)","pH (Maximum)","Planting Density per Acre, Minimum","Planting Density per Acre, Maximum","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Salinity Tolerance","Shade Tolerance","Temperature, Minimum (°F)","Bloom Period","Commercial Availability","Fruit/Seed Abundance","Fruit/Seed Period Begin","Fruit/Seed Period End","Fruit/Seed Persistence","Propogated by Bare Root","Propogated by Bulbs","Propogated by Container","Propogated by Corms","Propogated by Cuttings","Propogated by Seed","Propogated by Sod","Propogated by Sprigs","Propogated by Tubers","Seeds per Pound","Seed Spread Rate","Seedling Vigor","Small Grain","Vegetative Spread Rate","Berry/Nut/Seed Product","Christmas Tree Product","Fodder Product","Fuelwood Product","Lumber Product","Naval Store Product","Nursery Stock Product","Palatable Browse Animal","Palatable Graze Animal","Palatable Human","Post Product","Protein Potential","Pulpwood Product","Veneer Product"
"ABELI","","Abelia","NA (L48)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABGR4","","Abelia ×grandiflora","NA (L48)","Spring and Summer","","None","High","No","Yes","No","Purple","Yes","Dark Green","Dense","Dense","Medium","Brown","No","Multiple Stem","Rapid","6","6.0","No","Yes","Moderate","No","None","Yes","Semi-Erect","None","Yes","Yes","No","None","Medium","No","Medium","Medium","Low","150","High","Medium","5.7","7.0","1200","1700","28","60","12","Low","Tolerant","-13","Late Summer","Routinely Available","None","Summer","Fall","No","Yes","No","Yes","No","Yes","No","No","No","No","","None","","No","None","No","No","No","","No","No","Yes","Low","","No","No","Low","No","No"
"ABELM","","Abelmoschus","NA (L48), HI, PR, VI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABES","","Abelmoschus esculentus","NA (L48), PR, VI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABMA9","","Abelmoschus manihot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABMO","","Abelmoschus moschatus","HI, PR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABIES","","Abies","NA (L48, AK, CAN, SPM)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABAL3","","Abies alba","NA (L48)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABAM","","Abies amabilis","NA (L48, AK, CAN)","Spring and Summer","","None","High","No","Yes","No","Yellow","No","Gray-Green","Dense","Dense","Medium","Brown","No","Single Stem","Slow","20","165","No","Yes","Long","No","None","No","Erect","None","Yes","Yes","Yes","None","Low","Yes","Low","Low","None","90","None","Medium","3.3","6.0","300","700","38","260","36","None","Tolerant","-28","Late Spring","Routinely Available","Low","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No","11280","Slow","Low","No","None","No","Yes","No","Low","Yes","No","No","Low","","No","No","","Yes","Yes"
"ABBA","","Abies balsamea","NA (L48, CAN, SPM)","Spring and Summer","","None","High","No","No","No","Yellow","No","Green","Dense","Dense","Medium","Brown","No","Single Stem","Slow","18","60","No","Yes","Short","No","None","No","Conical","None","Yes","Yes","Yes","None","Low","Yes","Low","Medium","Low","80","Low","Medium","4.0","6.0","300","1200","13","60","20","None","Tolerant","-43","Mid Summer","Routinely Available","Medium","Fall","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No","59840","Slow","Low","No","None","No","Yes","No","Low","Yes","Yes","Yes","Medium","","No","No","Low","Yes","Yes"
